;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Reported eradication of coca bush, 2009-2020;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;Method of eradication;Unit;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;source 2020;;;;;;;;;
;Bolivia (Plurinational State of);manual;hectare;6 341;8 200;10 509;11 044;11 407;11 144;11 020;6 577;7 237;11 174;9 205;2 177;https://www.unodc.org/documents/crop-monitoring/Bolivia/Bolivia_Coca_Survey_Fact_sheet_Executive_Summary_2020.pdf, page 1;;;;;;;;;
;Colombia;manual;hectare;60 565;43 804;35 201;30 456;22 121;11 703;13 473;17 642;52 001;59 978;94 606;130 147;ARQ2020;;;;;;;;;
;;spraying;hectare;104 772;101 940;103 302;100 549;47 052;55 532;36 494;0;0;0;0;..;;;;;;;;;;
;Peru;manual;hectare;10 025;12 033;10 290;14 171;23 785;31 206;35 868;30 151;25 784;25 107;25 526;6 273;ARQ2020;;;;;;;;;
;Ecuador;manual;hectare;6;3;14;..;..;..;..;..;..;..;..;..;;;;;;;;;;
;;manual;plants;57 765;3 870;55 030;122 656;41 996;15 874;45 266;20 896;10 100;3 818;..;..;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;. .;;;;;;;;;;;;;;;;;;;;;;;;
