ISO3;Region;SubRegion;Country/Territory;SourceType;Year;DrugGroup;DrugSubGroup;DrugName;quantity;unit;KgEquivalent;Comment
AFG;Asia;Near and Middle East/ South-West Asia;Afghanistan;DMP;2020;Amphetamine-type stimulants (excluding “ecstasy”);Methamphetamine;Methamphetamine;1198,750;Kilograms;1198,750;
AFG;Asia;Near and Middle East/ South-West Asia;Afghanistan;SIGAR;2020;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis resin (hashish);Cannabis resin (hashish);422658,000;Kilograms;422658,000;
AFG;Asia;Near and Middle East/ South-West Asia;Afghanistan;DMP;2020;Opioids;Heroin;Heroin;3052,000;Kilograms;3052,000;
AFG;Asia;Near and Middle East/ South-West Asia;Afghanistan;DMP;2020;Opioids;Illicit morphine;Illicit morphine;127,870;Kilograms;127,870;
AFG;Asia;Near and Middle East/ South-West Asia;Afghanistan;DMP;2020;Opioids;Opium;Opium;6753,640;Kilograms;6753,640;
DZA;Africa;North Africa;Algeria;ARQ;2020;Any other drugs/substances;Other miscellaneous;Other drugs/substances;385,000;Bottles (5ml);1,925;Psychotropes
DZA;Africa;North Africa;Algeria;ARQ;2020;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis herb (marijuana);Cannabis herb (marijuana);16,496;Kilograms;16,496;
DZA;Africa;North Africa;Algeria;ARQ;2020;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis plants;Cannabis plants;7410,000;Plants;741,000;
DZA;Africa;North Africa;Algeria;ARQ;2020;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis resin (hashish);Cannabis resin (hashish);88702,581;Kilograms;88702,581;
DZA;Africa;North Africa;Algeria;ARQ;2020;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis seed;Cannabis seed;4,547;Kilograms;4,547;
KEN;Africa;East Africa;Kenya;ARQ;2019;Amphetamine-type stimulants (excluding “ecstasy”);Methamphetamine;Methamphetamine;1,000;Kilogram;1,000;
KEN;Africa;East Africa;Kenya;ARQ;2019;Amphetamine-type stimulants (excluding “ecstasy”);Methamphetamine;Methamphetamine;283,000;Gram;0,280;
KEN;Africa;East Africa;Kenya;ARQ;2019;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis herb (marijuana);Cannabis herb (marijuana);3773,000;Kilogram;3773,000;
KEN;Africa;East Africa;Kenya;ARQ;2019;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis herb (marijuana);Cannabis herb (marijuana);744,000;Gram;0,740;
KEN;Africa;East Africa;Kenya;ARQ;2019;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis plants;Cannabis plants;130,000;Plants;13,000;
KEN;Africa;East Africa;Kenya;ARQ;2019;Cocaine-type;Cocaine;Cocaine;6,000;Kilogram;6,000;
KEN;Africa;East Africa;Kenya;ARQ;2019;Cocaine-type;Cocaine;Cocaine;368,000;Gram;0,370;
KEN;Africa;East Africa;Kenya;ARQ;2019;Opioids;Heroin;Heroin;41,000;Kilogram;41,000;
KEN;Africa;East Africa;Kenya;ARQ;2019;Opioids;Heroin;Heroin;991,000;Gram;0,990;
KEN;Africa;East Africa;Kenya;ARQ;2019;Opioids;Heroin;Heroin;325,000;Unit;0,010;
KEN;Africa;East Africa;Kenya;ARQ;2019;Opioids;Pharmaceutical opioids;Pharmaceutical opioids;4080,000;Gram;4,080;
KEN;Africa;East Africa;Kenya;ARQ;2018;Amphetamine-type stimulants (excluding “ecstasy”);Methamphetamine;Methamphetamine;2,790;Kilogram;2,790;
KEN;Africa;East Africa;Kenya;OC2020;2018;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis herb (marijuana);Cannabis herb (marijuana);4466,000;Kilogram;4466,000;
KEN;Africa;East Africa;Kenya;ARQ;2018;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis plants;Cannabis plants;517,000;Plants;51,700;
KEN;Africa;East Africa;Kenya;ARQ;2018;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis plants;Cannabis plants;458,000;Unit;45,800;
KEN;Africa;East Africa;Kenya;OC2020;2018;Cocaine-type;Cocaine;Cocaine;8,950;Kilogram;8,950;
KEN;Africa;East Africa;Kenya;OC2020;2018;Opioids;Heroin;Heroin;120,000;Kilogram;120,000;
KEN;Africa;East Africa;Kenya;ARQ;2017;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis herb (marijuana);Cannabis herb (marijuana);8617,000;Kilogram;8617,000;
KEN;Africa;East Africa;Kenya;ARQ;2017;Cannabis-type drugs (excluding synthetic cannabinoids);Cannabis plants;Cannabis plants;4662,000;Plants;466,200;
