region;subregion;cannabisNumber;cannabisPrelevance;opioidsNumber;opioidsPrelevance;opiatesNumber;opiatesPrelevance;cocaineNumber;cocainePrelevance;amphetaminesNumber;amphetaminesPrelevance;ecstasyNumber;ecstasyPrelevance
Africa;;49200000,00;6,54;9290000,00;1,23;3680000,00;0,49;1990000,00;0,27;2720000,00;0,38;1950000,00;0,26
;East Africa;;;;;;;;;;;;
;North Africa;7970000,00;5,26;1610000,00;1,06;1610000,00;1,06;414000,00;0,27;;;;
;Southern Africa;;;;;;;;;;;;
;West and Central Africa;28510000,00;9,69;;;540000,00;0,18;445000,00;0,15;780000,00;0,28;;
Americas;;66640000,00;9,81;11950000,00;1,76;2790000,00;0,41;11500000,00;1,69;15390000,00;2,30;3750000,00;0,55
;Caribbean;1080000,00;3,79;;;;;100000,00;0,35;;;60000,00;0,23
;Central America;1010000,00;3,12;;;;;310000,00;0,96;310000,00;0,98;60000,00;0,17
;North America;54100000,00;16,60;10970000,00;3,37;2350000,00;0,72;6350000,00;1,95;12480000,00;3,87;2940000,00;0,90
;South America;10450000,00;3,58;800000,00;0,27;390000,00;0,13;4740000,00;1,62;2350000,00;0,82;690000,00;0,24
Asia;;60860000,00;1,97;35770000,00;1,16;21480000,00;0,70;2040000,00;0,07;12730000,00;0,42;10100000,00;0,33
;Central Asia and Transcaucasia;1530000,00;2,58;590000,00;1,00;580000,00;0,97;;;;;;
;East and South-East Asia;19420000,00;1,20;3110000,00;0,19;3110000,00;0,19;780000,00;0,05;9860000,00;0,61;3670000,00;0,23
;South-West Asia/Near and Middle East;10110000,00;3,07;10520000,00;3,20;;;150000,00;0,04;690000,00;0,19;;
;South Asia;29800000,00;2,77;21550000,00;2,01;12010000,00;1,12;1070000,00;0,10;1970000,00;0,19;;
Europe;;29260000,00;5,41;3610000,00;0,67;3120000,00;0,58;5200000,00;0,96;2900000,00;0,53;3640000,00;0,67
;Eastern and South-Eastern Europe;4550000,00;2,04;1720000,00;0,77;1490000,00;0,67;650000,00;0,29;570000,00;0,25;710000,00;0,32
;Western and Central Europe;24710000,00;7,76;1890000,00;0,59;1630000,00;0,51;4550000,00;1,43;2330000,00;0,73;2930000,00;0,92
Oceania;;3260000,00;12,00;660000,00;2,44;30000,00;0,11;730000,00;2,70;330000,00;1,26;590000,00;2,17
;Australia and New Zealand;2370000,00;12,14;;;;;;;240000,00;1,25;560000,00;2,84
;Melanesia;;;;;;;;;;;;
;Micronesia;;;;;;;;;;;;
;Polynesia;;;;;;;;;;;;
;;;;;;;;;;;;;
