Source,Region,SubRegion,Country/Territory,DrugGroup,Drug,DrugState,LevelOfSale,Year,Typical price,Minimum price,Maximum price,Unit,Currency
ARQ,Africa,East Africa,Kenya,Amphetamine-type stimulants (excluding “ecstasy”),Methamphetamine,,Wholesale,2019,,80000.00,90000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Kenya,Cannabis-type drugs,Cannabis herb (marijuana),,Street,2019,,20000.00,40000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Kenya,Cannabis-type drugs,Cannabis herb (marijuana),,Street,2018,30.00,25.00,40.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Kenya,Cannabis-type drugs,Cannabis herb (marijuana),,Street,2017,30.00,25.00,40.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Kenya,Cannabis-type drugs,Cannabis herb (marijuana),,Street,2016,30.00,20.00,50.00,5 gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Kenya,Cocaine-type,Cocaine,,Wholesale,2019,,12000.00,15000.00,Kilogram,USA
ARQ,Africa,East Africa,Kenya,Cocaine-type,Cocaine,,Street,2019,100.00,100.00,200.00,Gram,USA
ARQ,Africa,East Africa,Kenya,Cocaine-type,Cocaine,,Street,2018,4000.00,4000.00,4500.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Kenya,Cocaine-type,Cocaine,,Street,2017,4000.00,4000.00,4500.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Kenya,Cocaine-type,Cocaine,,Street,2016,800.00,500.00,1000.00,200 milligram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Kenya,Opioids,Heroin,,Street,2019,150.00,100.00,300.00,Gram,USA
ARQ,Africa,East Africa,Kenya,Opioids,Heroin,,Wholesale,2019,,3000000.00,4000000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Kenya,Opioids,Heroin,,Street,2018,3000.00,2500.00,3000.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Kenya,Opioids,Heroin,,Street,2017,3000.00,2500.00,3000.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Kenya,Opioids,Heroin,,Street,2016,500.00,300.00,600.00,200 milligram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Madagascar,Amphetamine-type stimulants (excluding “ecstasy”),Methamphetamine,,Wholesale,2018,140000.00,100000.00,2000000.00,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Madagascar,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2018,60000.00,50000.00,100000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Madagascar,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2017,60000.00,55000.00,70000.00,Kilogram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Madagascar,Cannabis-type drugs,Cannabis herb (marijuana),,Street,2016,100.00,,,Gram,"National currency (not EUR, USD or CHF)"
ARQ,Africa,East Africa,Madagascar,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2016,60000.00,,,Kilogram,"National currency (not EUR, USD or CHF)"
