Source,Region,SubRegion,Country/Territory,DrugGroup,Drug,DrugState,LevelOfSale,Year,Typical purity,Minimum purity,Maximum purity,Purity
ARQ,Africa,East Africa,Kenya,Cocaine-type,Cocaine,,Wholesale,2019,0.15,0.25,0.30,% (percent)
ARQ,Africa,East Africa,Kenya,Cocaine-type,Cocaine,,Street,2019,0.10,0.05,0.15,% (percent)
ARQ,Africa,East Africa,Kenya,Opioids,Heroin,,Street,2019,0.10,0.05,0.15,% (percent)
ARQ,Africa,East Africa,Kenya,Opioids,Heroin,,Wholesale,2019,0.25,0.30,0.60,% (percent)
ARQ,Africa,North Africa,Algeria,Cannabis-type drugs,Cannabis resin (hashish),,Street,2018,0.13,0.05,0.20,% (percent)
ARQ,Africa,North Africa,Algeria,Cannabis-type drugs,Cannabis resin (hashish),,Wholesale,2018,0.13,0.05,0.20,% (percent)
ARQ,Africa,North Africa,Algeria,Cannabis-type drugs,Cannabis resin (hashish),,Wholesale,2017,0.13,0.05,0.20,% (percent)
ARQ,Africa,North Africa,Algeria,Cannabis-type drugs,Cannabis resin (hashish),,Street,2017,0.13,0.05,0.20,% (percent)
ARQ,Africa,North Africa,Algeria,Cocaine-type,Cocaine,,Wholesale,2018,0.06,0.02,0.10,% (percent)
ARQ,Africa,North Africa,Algeria,Cocaine-type,Cocaine,,Street,2018,0.06,0.02,0.10,% (percent)
ARQ,Africa,North Africa,Algeria,Cocaine-type,Cocaine,,Wholesale,2017,0.06,0.02,0.10,% (percent)
ARQ,Africa,North Africa,Algeria,Cocaine-type,Cocaine,,Street,2017,0.06,0.02,0.10,% (percent)
ARQ,Africa,North Africa,Algeria,Opioids,Heroin,,Wholesale,2018,0.06,0.02,0.10,% (percent)
ARQ,Africa,North Africa,Algeria,Opioids,Heroin,,Street,2018,0.06,0.02,0.10,% (percent)
ARQ,Africa,North Africa,Algeria,Opioids,Heroin,,Street,2017,0.06,0.02,0.10,% (percent)
ARQ,Africa,North Africa,Algeria,Opioids,Heroin,,Wholesale,2017,0.06,0.02,0.10,% (percent)
ARQ,Africa,North Africa,Morocco,Cannabis-type drugs,Cannabis resin (hashish),,Street,2019,0.25,0.01,0.47,% (percent)
ARQ,Africa,North Africa,Morocco,Cannabis-type drugs,Cannabis resin (hashish),,Wholesale,2019,0.25,0.01,0.47,% (percent)
ARQ,Africa,North Africa,Morocco,Cocaine-type,Coca paste/refined cocaine base (intermediate products) (please specify),,Street,2019,0.81,0.76,0.87,% (percent)
ARQ,Africa,North Africa,Morocco,Cocaine-type,Cocaine,,Wholesale,2019,,,0.95,% (percent)
ARQ,Africa,North Africa,Morocco,Cocaine-type,Cocaine,,Street,2019,0.21,0.12,0.30,% (percent)
ARQ,Africa,North Africa,Morocco,Cocaine-type,Cocaine,,Street,2016,0.90,0.85,0.95,% (percent)
ARQ,Africa,Southern Africa,South Africa,“Ecstasy”-type substances,“Ecstasy”-type substances,,Street,2017,0.50,0.30,0.80,% (percent)
ARQ,Africa,Southern Africa,South Africa,“Ecstasy”-type substances,“Ecstasy”-type substances,,Wholesale,2017,0.45,0.55,0.85,% (percent)
ARQ,Africa,Southern Africa,South Africa,Amphetamine-type stimulants,Methamphetamine,,Street,2017,0.50,0.30,0.80,% (percent)
ARQ,Africa,Southern Africa,South Africa,Amphetamine-type stimulants,Methamphetamine,,Wholesale,2017,0.50,0.30,0.80,% (percent)
ARQ,Africa,Southern Africa,South Africa,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2017,0.40,0.25,0.50,% (percent)
ARQ,Africa,Southern Africa,South Africa,Cannabis-type drugs,Cannabis herb (marijuana),,Street,2017,0.40,0.25,0.50,% (percent)
ARQ,Africa,Southern Africa,South Africa,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2016,0.40,0.25,0.50,% (percent)
ARQ,Africa,Southern Africa,South Africa,Cannabis-type drugs,Cannabis resin (hashish),,Street,2017,0.35,0.20,0.65,% (percent)
ARQ,Africa,Southern Africa,South Africa,Cannabis-type drugs,Cannabis resin (hashish),,Wholesale,2017,0.35,0.20,0.65,% (percent)
ARQ,Africa,Southern Africa,South Africa,Cannabis-type drugs,Cannabis resin (hashish),,Wholesale,2016,0.35,0.20,0.65,% (percent)
ARQ,Africa,Southern Africa,South Africa,Cocaine-type,Coca paste/refined cocaine base (intermediate products) (please specify),,Street,2017,0.50,0.40,0.90,% (percent)
ARQ,Africa,Southern Africa,South Africa,Cocaine-type,Cocaine,,Wholesale,2017,0.50,0.40,0.90,% (percent)
ARQ,Africa,Southern Africa,South Africa,Cocaine-type,Cocaine,,Street,2017,0.55,0.40,0.85,% (percent)
ARQ,Africa,Southern Africa,South Africa,Cocaine-type,Cocaine,,Wholesale,2017,0.55,0.40,0.85,% (percent)
ARQ,Africa,Southern Africa,South Africa,Cocaine-type,Cocaine,,Wholesale,2016,0.55,0.40,0.85,% (percent)
ARQ,Africa,Southern Africa,South Africa,Cocaine-type,Coca paste/refined cocaine base (intermediate products) (please specify),,Wholesale,2016,0.50,0.40,0.90,% (percent)
ARQ,Africa,Southern Africa,South Africa,Hallucinogens,Lysergic acid diethylamide (LSD),,Street,2017,0.60,0.55,0.90,% (percent)
ARQ,Africa,Southern Africa,South Africa,Hallucinogens,Lysergic acid diethylamide (LSD),,Wholesale,2017,0.60,0.55,0.90,% (percent)
ARQ,Africa,Southern Africa,South Africa,Opioids,Heroin,,Wholesale,2017,0.50,0.35,0.70,% (percent)
ARQ,Africa,Southern Africa,South Africa,Opioids,Heroin,,Street,2017,0.50,0.35,0.70,% (percent)
ARQ,Africa,Southern Africa,South Africa,Opioids,Heroin,,Wholesale,2016,0.50,0.35,0.70,% (percent)
ARQ,Africa,West and Central Africa,Ghana,Cocaine-type,Cocaine,,Street,2017,0.89,0.70,0.96,% (percent)
ARQ,Africa,West and Central Africa,Ghana,Cocaine-type,Cocaine,,Wholesale,2016,0.80,0.72,0.92,% (percent)
ARQ,Americas,Central America,Costa Rica,Cocaine-type,Cocaine,,Street,2019,0.85,0.79,0.89,% (percent)
ARQ,Americas,Central America,Costa Rica,Cocaine-type,Cocaine,,Street,2017,0.87,0.82,0.91,% (percent)
ARQ,Americas,Central America,Costa Rica,Cocaine-type,Cocaine,,Street,2016,0.78,0.74,0.83,% (percent)
ARQ,Americas,Central America,El Salvador,Amphetamine-type stimulants,Methamphetamine,,Wholesale,2018,0.65,0.65,0.65,% (percent)
ARQ,Americas,Central America,El Salvador,Amphetamine-type stimulants,Methamphetamine,,Street,2016,0.85,0.80,0.90,% (percent)
ARQ,Americas,Central America,El Salvador,Amphetamine-type stimulants,Methamphetamine,,Wholesale,2016,0.85,0.80,0.90,% (percent)
ARQ,Americas,Central America,El Salvador,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2018,1.00,1.00,1.00,% (percent)
ARQ,Americas,Central America,El Salvador,Cannabis-type drugs,Cannabis herb (marijuana),,Street,2016,0.80,0.70,0.90,% (percent)
ARQ,Americas,Central America,El Salvador,Cannabis-type drugs,Cannabis herb (marijuana),,Wholesale,2016,0.90,1.00,1.00,% (percent)
ARQ,Americas,Central America,El Salvador,Cocaine-type,Cocaine,,Wholesale,2019,0.60,0.50,0.70,% (percent)
ARQ,Americas,Central America,El Salvador,Cocaine-type,Cocaine,,Street,2019,,0.05,0.94,% (percent)
